PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,50,575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,60,595,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,70,615,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,F,925,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,I,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,10,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,20,940,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,30,970,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,40,"1,000",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,50,"1,050",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,60,"1,100",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,70,1200,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,F,"1,750",,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,I,1950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,10,425,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,20,445,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,30,460,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,40,480,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,50,500,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,60,520,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,70,540,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,F,765,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,I,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,10,450,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,20,470,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,30,485,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,40,505,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,50,525,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,60,545,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,70,565,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,F,790,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-24,I,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-91,10,925,,,,,,,,,,,,,,,,,,
